TRANSACC | ID_ORIG | ID_DEST | MONTO  | FECHA_HORA  | ESTADO 
---------------------------------------------------------------------------- 
1          | 101   | 102  | 500.00 | 2025-05-02 14:30:00 | Confirmada   
2          | 102     | 101 | 200.00 | 2025-05-02 15:00:00 | Pendiente 
3          | 101   | 102  | 500.00 | 2025-05-02 14:30:00 | Confirmada   
4          | 102     | 101 | 200.00 | 2025-05-02 15:00:00 | Pendiente 
5          | 101   | 102  | 500.00 | 2025-05-02 14:30:00 | Confirmada   
6          | 102     | 101 | 200.00 | 2025-05-02 15:00:00 | Pendiente 
7          | 101   | 102  | 500.00 | 2025-05-02 14:30:00 | Confirmada   
8          | 102     | 101 | 200.00 | 2025-05-02 15:00:00 | Pendiente 
9          | 101   | 102  | 500.00 | 2025-05-02 14:30:00 | Confirmada   
10          | 102     | 101 | 200.00 | 2025-05-02 15:00:00 | Pendiente 
11          | 101   | 102  | 500.00 | 2025-05-02 14:30:00 | Confirmada   
12          | 102     | 101 | 200.00 | 2025-05-02 15:00:00 | Pendiente 
13          | 101   | 102  | 500.00 | 2025-05-02 14:30:00 | Confirmada   
14          | 102     | 101 | 200.00 | 2025-05-02 15:00:00 | Pendiente 
15          | 101   | 102  | 500.00 | 2025-05-02 14:30:00 | Confirmada   
16          | 102     | 101 | 200.00 | 2025-05-02 15:00:00 | Pendiente 
17          | 101   | 102  | 500.00 | 2025-05-02 14:30:00 | Confirmada   
18          | 102     | 101 | 200.00 | 2025-05-02 15:00:00 | Pendiente 
19          | 101   | 102  | 500.00 | 2025-05-02 14:30:00 | Confirmada   
20          | 102     | 101 | 200.00 | 2025-05-02 15:00:00 | Pendiente 
21          | 101   | 102  | 500.00 | 2025-05-02 14:30:00 | Confirmada   
22          | 102     | 101 | 200.00 | 2025-05-02 15:00:00 | Pendiente 
23          | 101   | 102  | 500.00 | 2025-05-02 14:30:00 | Confirmada   
24          | 102     | 101 | 200.00 | 2025-05-02 15:00:00 | Pendiente 
25          | 101   | 102  | 500.00 | 2025-05-02 14:30:00 | Confirmada   
26          | 102     | 101 | 200.00 | 2025-05-02 15:00:00 | Pendiente 
27          | 101   | 102  | 500.00 | 2025-05-02 14:30:00 | Confirmada   
28          | 102     | 101 | 200.00 | 2025-05-02 15:00:00 | Pendiente 
29          | 101   | 102  | 500.00 | 2025-05-02 14:30:00 | Confirmada   
30          | 102     | 101 | 200.00 | 2025-05-02 15:00:00 | Pendiente 


